"word1","word2","freq"
"new","york",99
"last","year",88
"dont","know",72
"years","ago",71
"right","now",67
"high","school",63
"first","time",57
"last","night",52
"can","see",45
"last","week",42
"st","louis",41
"cant","wait",39
"feel","like",39
"one","day",39
"said","“",39
"even","though",38
"looking","forward",36
"two","years",36
"san","francisco",35
"every","day",33
"make","sure",33
"look","like",32
"im","going",31
"united","states",31
"can","get",30
"new","jersey",30
"don’t","know",29
"im","sure",29
"just","like",29
"three","years",29
"every","time",27
"dont","think",26
"long","time",26
"looks","like",26
"los","angeles",26
"next","year",26
"go","back",25
"little","bit",25
"pretty","much",25
"ice","cream",24
"last","month",24
"next","week",24
"one","thing",24
"two","weeks",24
"years","old",24
"dont","want",23
"will","take",23
"bmw","service",22
"center","california",22
"service","center",22
"thanks","follow",22
"will","get",22
"just","got",21
"many","people",21
"’m","sure",20
"felt","like",20
"five","years",20
"let","know",20
"will","make",20
"also","said",19
"good","morning",19
"health","care",19
"mothers","day",19
"now","im",19
"people","will",19
"seems","like",19
"will","never",19
"can","make",18
"come","back",18
"didnt","want",18
"one","time",18
"san","diego",18
"york","city",18
"youre","going",18
"dont","like",17
"dont","need",17
"get","back",17
"good","thing",17
"im","just",17
"just","one",17
"last","years",17
"let","us",17
"police","said",17
"real","estate",17
"vice","president",17
"will","also",17
"will","come",17
"will","continue",17
"will","go",17
"year","old",17
"-","-",16
"didnt","know",16
"olive","oil",16
"one","favorite",16
"one","two",16
"really","want",16
"sounds","like",16
"supreme","court",16
"will","help",16
"can","go",15
"can","tell",15
"four","years",15
"good","luck",15
"happy","birthday",15
"know","can",15
"lot","people",15
"many","times",15
"many","years",15
"much","better",15
"much","fun",15
"really","like",15
"san","jose",15
"things","like",15
"call","--",14
"can","use",14
"don’t","think",14
"friday","night",14
"great","time",14
"im","still",14
"ive","seen",14
"just","dont",14
"now","know",14
"pretty","good",14
"prime","minister",14
"said","just",14
"super","bowl",14
"weeks","ago",14
"came","back",13
"couple","weeks",13
"dont","get",13
"everyone","else",13
"im","excited",13
"ive","got",13
"kansas","city",13
"know","one",13
"last","day",13
"last","season",13
"last","time",13
"like","one",13
"new","year",13
"really","good",13
"set","aside",13
"several","years",13
"someone","else",13
"two","days",13
"will","give",13
"will","see",13
"will","start",13
"youve","got",13
"around","world",12
"associated","press",12
"can","find",12
"cant","get",12
"city","kansas",12
"get","better",12
"going","get",12
"hope","everyone",12
"looked","like",12
"loved","ones",12
"make","sense",12
"maybe","’s",12
"medical","center",12
"never","seen",12
"next","month",12
"ohio","state",12
"one","another",12
"past","years",12
"really","need",12
"said","dont",12
"state","university",12
"told","us",12
"went","back",12
"will","always",12
"’s","something",11
"barack","obama",11
"chief","executive",11
"come","across",11
"couple","days",11
"day","just",11
"fell","love",11
"first","round",11
"first","thing",11
"great","day",11
"im","gonna",11
"just","love",11
"know","will",11
"last","two",11
"late","s",11
"lets","get",11
"new","orleans",11
"next","day",11
"officials","said",11
"people","think",11
"pleaded","guilty",11
"president","barack",11
"said","statement",11
"said","will",11
"something","like",11
"spend","time",11
