"word1","word2","word3","word4","freq"
"bmw","service","center","california",22
"city","kansas","missouri","news",10
"kansas","missouri","news","televison",10
"service","center","california","bmw",6
"california","bmw","service","center",5
"center","california","bmw","service",5
"please","please","please","please",5
"cricket","new","zealand","australia",4
"dont","know","whats","going",3
"feels","like","coming","home",3
"missouri","news","televison","city",3
"news","televison","city","kansas",3
"st","louis","county","police",3
"televison","city","kansas","missouri",3
"-","-","-","-",2
"-","jbuescher","-","rhornaday",2
"-square-foot","home","-square-foot","pool",2
"-year","old","daughter","diagnosed",2
"–","pretty","much","won",2
"–whether","’s","shame","belief",2
"—","gov","chris","christie",2
"’ll","just","make","really",2
"’m","sceptic","tend","believe",2
"’s","presence","walk","story",2
"’s","shame","belief","unclean",2
"’s","something","stuck","roof",2
"’s","time","character","go",2
"“","gutless","act","ive",2
"“anchor","”","-called","“birthright",2
"“path","citizenship”","continue","grant",2
"”","-called","“birthright","citizenship”",2
"ability","said","dale","rollings",2
"across","syria","including","least",2
"act","ive","seen","years",2
"action","calling","“","gutless",2
"actors","judges","really","seemed",2
"adam","eve","walking","garden",2
"added","others","will","made",2
"affordable","care","act","’s",2
"aliens","“path","citizenship”","continue",2
"alleywaysoh","daystravelling","much","fun",2
"already","added","others","will",2
"also","use","fabric","prefer",2
"always","something","keeping","people",2
"americas","unusual","state","parks",2
"among","films","martin","scorseses",2
"ancient","winding","alleywaysoh","daystravelling",2
"annual","meeting","registration","information",2
"another","long","line","injured",2
"anyone","information","asked","call",2
"apartment","complex","block","provo",2
"applied","decorations","hands","night",2
"asked","life","story","groomer",2
"austin","texas","produced","share",2
"australia","cricket","new","zealand",2
"automatic","citizenship","“anchor","”",2
"available","next","months","among",2
"averaged","points","per","game",2
"averaged","points","rebounds","lead",2
"averse","sefira","group","explains",2
"avoid","lines","photographs","use",2
"back","office","shut","door",2
"backdrop","love","white","background",2
"background","using","piece","white",2
"band","known","collectively","averse",2
"barrier","went","kept","people",2
"basic","standards","science","ethics",2
"bays","transformers","francis","ford",2
"beginning","story","present","adam",2
"believe","doctors","actors","judges",2
"believe","keane","started","mimicking",2
"believe","maria","broken","foot",2
"bess","nice","work","can",2
"bill’s","pumpkin","ale","purchased",2
"bills","buying","food","point",2
"bkeselowski","-","jbuescher","-",2
"blasts","targeting","security","buildings",2
"block","el","camino","real",2
"block","provo","lane","report",2
"book","monster","single","hit",2
"bottle","malt","brandishing","sword",2
"bowl","came","back","office",2
"brain","tumor","trouble","paying",2
"brandishing","sword","childs","school",2
"break","window","reach","child",2
"brian","polite","state","police",2
"broken","foot","dont","know…",2
"brush","olive","oil","bake",2
