"word1","freq"
"said",1457
"will",1335
"one",1279
"just",1162
"like",1040
"can",950
"time",848
"get",815
"new",730
"now",702
"people",700
"day",621
"first",619
"im",618
"know",615
"good",606
"also",602
"us",573
"see",553
"back",550
"two",537
"last",527
"go",511
"year",506
"years",506
"going",502
"think",501
"’s",500
"well",495
"make",493
"even",491
"love",485
"much",474
"dont",461
"really",456
"way",419
"still",416
"many",412
"work",408
"got",404
"want",402
"great",399
"“",397
"little",389
"-",386
"take",371
"may",363
"state",352
"made",350
"right",345
"say",343
"home",339
"today",339
"–",331
"around",331
"never",331
"need",330
"things",328
"another",324
"school",312
"something",310
"life",308
"come",302
"week",288
"night",281
"long",276
"world",276
"best",274
"every",273
"three",272
"next",271
"since",271
"city",267
"better",262
"use",256
"big",255
"lot",254
"thats",251
"always",249
"look",248
"part",248
"find",244
"show",243
"thanks",243
"told",242
"didnt",241
"game",241
"went",241
"man",236
"feel",235
"—",233
"house",231
"put",229
"says",229
"sure",228
"help",227
"family",226
"u",222
"end",221
"used",218
"might",217
"thing",217
"away",214
"happy",214
"old",213
"cant",212
"days",212
"give",210
"place",208
"though",208
"team",207
"without",207
"percent",205
"ive",199
"getting",198
"found",193
"high",193
"keep",193
"public",192
"left",187
"let",187
"million",187
"hope",186
"play",186
"pm",186
"thought",185
"times",183
"don’t",182
"ever",182
"youre",182
"season",181
"set",181
"looking",179
"book",176
"th",175
"call",173
"making",170
"top",168
"course",167
"friends",166
"hard",166
"must",166
"police",166
"start",165
"’m",164
"enough",164
"point",163
"makes",162
"pretty",162
"someone",162
"st",162
"everyone",161
"free",161
"job",161
"including",160
"already",159
"hes",159
"read",159
"done",158
"money",158
"rt",158
"children",157
"fun",157
"morning",157
"different",156
"least",156
"small",156
"called",155
"county",155
"far",155
"friday",155
"yet",155
"actually",154
"came",154
"four",154
"live",154
"past",153
"story",153
"real",152
"believe",151
"full",151
"kids",150
"bad",149
"open",149
"second",147
"try",147
"company",146
"water",146
"anything",145
"center",145
"later",145
"change",144
"ill",144
"tell",143
"business",142
"food",140
"minutes",140
"room",140
"trying",140
"lol",139
"run",139
"started",138
"took",138
"working",138
"yes",138
"”",137
"maybe",137
"case",136
"fact",136
"music",136
"name",136
"nothing",136
"ago",135
"national",135
"s",135
"service",135
"able",134
"bit",134
"blog",134
"games",133
"wanted",133
"’ve",132
"nice",132
"weekend",132
"group",131
"thank",131
"white",131
"coming",130
"month",130
"program",130
"almost",129
"everything",129
"others",129
"area",128
"doesnt",128
"kind",128
"movie",128
"news",128
"taking",128
"together",127
"ready",126
"saw",126
"asked",125
"several",125
"hit",124
"tonight",124
"along",123
"head",123
"however",123
"often",123
"post",123
"weeks",123
"bill",122
"lost",122
"seen",122
"stop",122
"probably",121
"early",120
"half",120
"instead",120
"comes",119
"office",119
"plan",119
"president",119
"soon",119
"check",118
"former",118
"monday",118
"oh",118
"party",118
"please",118
"talk",118
"five",117
"remember",117
"whether",116
"experience",115
"face",115
"follow",115
"add",114
"behind",114
"heart",114
"whole",114
"according",113
"become",113
"court",113
"idea",112
"mind",112
"number",112
"person",112
"question",112
"share",112
"side",112
"using",112
"close",111
"rather",111
"decided",110
"line",110
"months",110
"young",110
"anyone",109
"hours",109
"late",109
"order",109
"park",109
"states",109
"theres",109
"win",109
"film",108
"board",107
"less",107
"local",107
"couple",106
"girl",106
"hand",106
"means",106
"seems",106
"university",106
"favorite",105
"given",105
"sometimes",105
"tomorrow",105
"across",104
"friend",104
"front",104
"government",104
"john",104
"outside",104
"move",103
"pay",103
"power",103
"series",103
"wait",103
"care",102
"country",102
"mean",102
"project",102
"sunday",102
"support",102
"information",101
"men",101
"miss",101
"york",101
"students",100
"word",100
"words",100
"ask",99
"hot",99
"played",99
"problem",99
"summer",99
"car",98
"deal",98
"else",98
"finally",98
"gave",98
"guys",98
"law",98
"playing",98
"quite",98
"san",98
"march",97
"needs",97
"road",97
"final",96
"thursday",96
"turn",96
"writing",96
"april",95
"department",95
"knew",95
"meeting",95
"process",95
"system",95
"thinking",95
"women",95
"’ll",94
"’re",94
"class",94
"felt",94
"mother",94
"rest",94
"college",93
"cut",93
"points",93
"red",93
"stuff",93
"third",93
"watch",93
"health",92
"saturday",92
"six",92
"watching",92
"chance",91
"fall",91
"leave",91
"living",91
"members",91
"saying",91
"body",90
"community",90
"large",90
"running",90
"art",89
"child",89
"didn’t",89
"gets",89
"heard",89
"lead",89
"moment",89
"reason",89
"stay",89
"event",88
"future",88
"near",88
"within",88
"baby",87
"books",87
"continue",87
"important",87
"boy",86
"federal",86
"following",86
"list",86
"meet",86
"north",86
"players",86
"store",86
"beautiful",85
"coach",85
"parents",85
"south",85
